+-------------------------------------------+
| Registry name | Name | Type | Rarity | ID |
+-------------------------------------------+
| betterend:end_veil | enchantment.betterend.end_veil | ARMOR_HEAD | VERY_RARE (1) | 38 |
| bewitchment:magic_protection | enchantment.bewitchment.magic_protection | ARMOR | UNCOMMON (5) | 39 |
| enderitemod:void_floating | enchantment.enderitemod.void_floating | BREAKABLE | VERY_RARE (1) | 40 |
| fabricenchantments:auto_smelt | enchantment.fabricenchantments.auto_smelt | DIGGER | RARE (2) | 41 |
| fabricenchantments:beheading | enchantment.fabricenchantments.beheading | WEAPON | VERY_RARE (1) | 42 |
| fabricenchantments:charged_bolt | enchantment.fabricenchantments.charged_bolt | CROSSBOW | UNCOMMON (5) | 60 |
| fabricenchantments:consumer | enchantment.fabricenchantments.consumer | WEAPON | RARE (2) | 43 |
| fabricenchantments:double_swing | enchantment.fabricenchantments.double_swing | DIGGER | RARE (2) | 44 |
| fabricenchantments:ender_mind | enchantment.fabricenchantments.ender_mind | ARMOR_HEAD | VERY_RARE (1) | 45 |
| fabricenchantments:experience | enchantment.fabricenchantments.experience | WEAPON | RARE (2) | 46 |
| fabricenchantments:glimmering | enchantment.fabricenchantments.glimmering | ARMOR_FEET | UNCOMMON (5) | 59 |
| fabricenchantments:god_of_the_sea | enchantment.fabricenchantments.god_of_the_sea | TRIDENT | VERY_RARE (1) | 57 |
| fabricenchantments:god_of_thunder | enchantment.fabricenchantments.god_of_thunder | DIGGER | VERY_RARE (1) | 47 |
| fabricenchantments:homing | enchantment.fabricenchantments.homing | CROSSBOW | VERY_RARE (1) | 63 |
| fabricenchantments:ice_aspect | enchantment.fabricenchantments.ice_aspect | WEAPON | UNCOMMON (5) | 48 |
| fabricenchantments:nocturnal | enchantment.fabricenchantments.nocturnal | ARMOR_HEAD | VERY_RARE (1) | 49 |
| fabricenchantments:paralysis | enchantment.fabricenchantments.paralysis | WEAPON | UNCOMMON (5) | 50 |
| fabricenchantments:poison_aspect | enchantment.fabricenchantments.poison_aspect | WEAPON | RARE (2) | 51 |
| fabricenchantments:pumpkin_head | enchantment.fabricenchantments.pumpkin_head | ARMOR_HEAD | UNCOMMON (5) | 56 |
| fabricenchantments:pyromania | enchantment.fabricenchantments.pyromania | WEAPON | RARE (2) | 61 |
| fabricenchantments:replenish | enchantment.fabricenchantments.replenish | DIGGER | VERY_RARE (1) | 62 |
| fabricenchantments:rise | enchantment.fabricenchantments.rise | BOW | UNCOMMON (5) | 52 |
| fabricenchantments:shotgun | enchantment.fabricenchantments.shotgun | CROSSBOW | RARE (2) | 58 |
| fabricenchantments:sniper | enchantment.fabricenchantments.sniper | BOW | RARE (2) | 53 |
| fabricenchantments:sugar_rush | enchantment.fabricenchantments.sugar_rush | ARMOR_FEET | UNCOMMON (5) | 54 |
| fabricenchantments:tank | enchantment.fabricenchantments.tank | ARMOR_CHEST | UNCOMMON (5) | 55 |
| gobber2:apotropaic | enchantment.gobber2.apotropaic | ARMOR_CHEST | VERY_RARE (1) | 71 |
| gobber2:blinders | enchantment.gobber2.blinders | ARMOR_HEAD | RARE (2) | 69 |
| gobber2:faster_obsidian | enchantment.gobber2.faster_obsidian | DIGGER | COMMON (10) | 67 |
| gobber2:fluid_master | enchantment.gobber2.fluid_master | WEARABLE | VERY_RARE (1) | 72 |
| gobber2:quickuse | enchantment.gobber2.quickuse | WEARABLE | UNCOMMON (5) | 68 |
| gobber2:quietfeet | enchantment.gobber2.quietfeet | ARMOR_FEET | RARE (2) | 74 |
| gobber2:rebuffing | enchantment.gobber2.rebuffing | ARMOR_CHEST | VERY_RARE (1) | 65 |
| gobber2:smithblade | enchantment.gobber2.smithblade | WEAPON | VERY_RARE (1) | 64 |
| gobber2:solidfooting | enchantment.gobber2.solidfooting | ARMOR_FEET | RARE (2) | 70 |
| gobber2:summoner | enchantment.gobber2.summoner | WEAPON | VERY_RARE (1) | 73 |
| gobber2:untouchable | enchantment.gobber2.untouchable | ARMOR_LEGS | VERY_RARE (1) | 66 |
| imperishableitems:imperishable | enchantment.imperishableitems.imperishable | VANISHABLE | RARE (2) | 75 |
| incantationem:bunnys_hop | enchantment.incantationem.bunnys_hop | ARMOR_FEET | UNCOMMON (5) | 79 |
| incantationem:charmed | enchantment.incantationem.charmed | BREAKABLE | RARE (2) | 81 |
| incantationem:decay | enchantment.incantationem.decay | WEAPON | RARE (2) | 82 |
| incantationem:forging_touch | enchantment.incantationem.forging_touch | DIGGER | RARE (2) | 83 |
| incantationem:last_stand | enchantment.incantationem.last_stand | ARMOR_CHEST | RARE (2) | 84 |
| incantationem:magnetic | enchantment.incantationem.magnetic | ARMOR_LEGS | VERY_RARE (1) | 85 |
| incantationem:reaping_rod | enchantment.incantationem.reaping_rod | FISHING_ROD | VERY_RARE (1) | 86 |
| incantationem:recklessness | enchantment.incantationem.recklessness | DIGGER | VERY_RARE (1) | 76 |
| incantationem:retreat | enchantment.incantationem.retreat | ARMOR_LEGS | UNCOMMON (5) | 87 |
| incantationem:swine_bane | enchantment.incantationem.swine_bane | WEAPON | UNCOMMON (5) | 80 |
| incantationem:thunder | enchantment.incantationem.thunder | ARMOR_HEAD | VERY_RARE (1) | 77 |
| incantationem:tough_luck | enchantment.incantationem.tough_luck | BREAKABLE | VERY_RARE (1) | 78 |
| incantationem:venomous | enchantment.incantationem.venomous | BOW | RARE (2) | 88 |
| magiccombatwands:concentration | enchantment.magiccombatwands.concentration | WEAPON | RARE (2) | 90 |
| magiccombatwands:magic_protection | enchantment.magiccombatwands.magic_protection | ARMOR | UNCOMMON (5) | 93 |
| magiccombatwands:magic_wind | enchantment.magiccombatwands.magic_wind | WEAPON | RARE (2) | 89 |
| magiccombatwands:skillful | enchantment.magiccombatwands.skillful | ARMOR | VERY_RARE (1) | 92 |
| magiccombatwands:thrifty | enchantment.magiccombatwands.thrifty | WEAPON | VERY_RARE (1) | 91 |
| mcda:bag_of_souls | enchantment.mcda.bag_of_souls | ARMOR | VERY_RARE (1) | 94 |
| mcda:burning | enchantment.mcda.burning | ARMOR | VERY_RARE (1) | 95 |
| mcda:chilling | enchantment.mcda.chilling | ARMOR | VERY_RARE (1) | 96 |
| mcda:cowardice | enchantment.mcda.cowardice | ARMOR | VERY_RARE (1) | 97 |
| mcda:death_barter | enchantment.mcda.death_barter | ARMOR | VERY_RARE (1) | 98 |
| mcda:deflect | enchantment.mcda.deflect | ARMOR | VERY_RARE (1) | 99 |
| mcda:fire_focus | enchantment.mcda.fire_focus | ARMOR | VERY_RARE (1) | 100 |
| mcda:fire_trail | enchantment.mcda.fire_trail | ARMOR | VERY_RARE (1) | 101 |
| mcda:food_reserves | enchantment.mcda.food_reserves | ARMOR | VERY_RARE (1) | 102 |
| mcda:frenzied | enchantment.mcda.frenzied | ARMOR | VERY_RARE (1) | 103 |
| mcda:heal_allies | enchantment.mcda.heal_allies | ARMOR | VERY_RARE (1) | 104 |
| mcda:poison_focus | enchantment.mcda.poison_focus | ARMOR | VERY_RARE (1) | 105 |
| mcda:potion_barrier | enchantment.mcda.potion_barrier | ARMOR | VERY_RARE (1) | 106 |
| mcda:reckless | enchantment.mcda.reckless | ARMOR | VERY_RARE (1) | 107 |
| mcda:recycler | enchantment.mcda.recycler | ARMOR | VERY_RARE (1) | 108 |
| mcda:snowball | enchantment.mcda.snowball | ARMOR | VERY_RARE (1) | 109 |
| mcda:surprise_gift | enchantment.mcda.surprise_gift | ARMOR | VERY_RARE (1) | 110 |
| mcda:swiftfooted | enchantment.mcda.swiftfooted | ARMOR | VERY_RARE (1) | 111 |
| mcdar:beast_boss | enchantment.mcdar.beast_boss | ARMOR | VERY_RARE (1) | 112 |
| mcdar:beast_burst | enchantment.mcdar.beast_burst | ARMOR | VERY_RARE (1) | 113 |
